split,model,AUROC,AUPRC,F1,FAR,seed
known (val),RandomForest,0.5874178240740742,0.8533318722187087,0.7880357374077431,1.0,46
known (val),LogisticRegression,0.8522090277777778,0.9553279672401658,0.8556943242240633,0.815,46
known (val),SVM,0.7742273148148148,0.9178156148095188,0.8369351669941061,0.7975,46
known (val),LSTM,0.7175784722222223,0.8925014928646607,0.7883887252839714,0.9833333333333332,46
known (val),GRU,0.7524287037037037,0.8468358098968949,0.8719920261996298,0.8291666666666667,46
known (val),TemporalCNN,0.7069868055555556,0.9002336995585882,0.8123578975524943,0.7525,46
known (val),IsolationForest,0.6857270833333333,0.8527802554912272,0.5775862068965517,0.79,46
known (val),OneClassSVM,0.5766666666666667,0.7977020628399469,0.3243243243243243,0.9,46
known (val),Autoencoder,0.7852891203703704,0.9256730157261692,0.0556305698082635,0.7233333333333334,46
known (val),QuantumKernel,0.6470862470862471,0.8480281063357126,0.8578088578088578,0.9454545454545454,46
known (val),VQC,0.5502564102564103,0.8277573124444192,0.5814696485623003,0.9272727272727272,46
known (val),Q-TRACE,0.7532703703703703,0.9152199660336192,0.1269510926118626,0.8975,46
zero_day,XGBoost,0.6881945601851851,0.8704496471343381,0.8253269454875048,0.8991666666666667,46
zero_day,RandomForest,0.6694175925925927,0.8407084814398476,0.8226181254841208,0.8,46
zero_day,LogisticRegression,0.5535479166666667,0.8161987047140802,0.7664940926589672,0.9291666666666668,46
zero_day,SVM,0.5336261574074075,0.7741201612213537,0.7782987273945077,0.9658333333333332,46
zero_day,LSTM,0.6092020833333334,0.8099421129491653,0.8288050646267475,0.9,46
zero_day,GRU,0.5218969907407407,0.7795032486151148,0.7699127302950547,1.0,46
zero_day,TemporalCNN,0.524540162037037,0.8214065321438759,0.7560307732429261,1.0,46
zero_day,IsolationForest,0.6945777777777778,0.8733702342047387,0.4532268236283371,0.6283333333333333,46
zero_day,OneClassSVM,0.4866666666666667,0.7519374166831188,0.3414634146341463,0.8,46
zero_day,Autoencoder,0.5873145833333333,0.8432429335959821,0.0686695278969957,0.9575,46
zero_day,QuantumKernel,0.3743589743589743,0.7230397446476916,0.871331828442438,0.9818181818181818,46
zero_day,VQC,0.5858741258741259,0.8170622631682538,0.6258064516129033,0.9272727272727272,46
zero_day,Q-TRACE,0.6300856481481482,0.8585207780178938,0.1627966317938249,0.9333333333333332,46
physical_shift,XGBoost,0.4802760416666666,0.785202430579454,0.7035036698518211,1.0,46
physical_shift,RandomForest,0.4604988425925925,0.7840479589529683,0.8284110324627777,1.0,46
physical_shift,LogisticRegression,0.7555108796296297,0.9179093751097418,0.8571428571428571,0.9525,46
physical_shift,SVM,0.3537071759259259,0.7032440015570263,0.1569474442044636,1.0,46
physical_shift,LSTM,0.4930011574074073,0.7714289204382778,0.7049133768815677,0.9991666666666666,46
physical_shift,GRU,0.6579693287037036,0.8022232047963491,0.8443993917891536,0.8,46
physical_shift,TemporalCNN,0.6024866898148149,0.8579450573860021,0.630182978009065,0.8,46
physical_shift,IsolationForest,0.5907425925925927,0.8190978128217101,0.7677532013969732,0.9991666666666666,46
physical_shift,OneClassSVM,0.3399999999999999,0.6885055656821712,0.2105263157894736,1.0,46
