split,model,AUROC_mean,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_std,AUPRC_count,F1_mean,F1_std,F1_count,FAR_mean,FAR_std,FAR_count
physical_shift,VQC,0.46792540792540793,0.1516212968700049,5,0.7832240415491094,0.08498137979606459,5,0.5581829589821864,0.0656959499533045,5,0.9963636363636363,0.008131156281817412,5
physical_shift,XGBoost,0.6019234953703704,0.07795149379461036,5,0.8236157079195234,0.04917847813386631,5,0.7781675625610032,0.08439058757240539,5,0.9303333333333332,0.10810328137685946,5
zero_day,Autoencoder,0.6619407870370371,0.06768924300331865,5,0.8701682296532554,0.03419950604061968,5,0.06318312145062335,0.044210797088208485,5,0.9376666666666666,0.0415264306730598,5
zero_day,GRU,0.5342865509259259,0.08168629796500264,5,0.7710703810610509,0.03529553438668775,5,0.7588319673549571,0.021643587023379273,5,0.8858333333333335,0.1136301260914356,5
zero_day,IsolationForest,0.5865331944444444,0.10761969819177074,5,0.8136406766162765,0.07357463923452189,5,0.46468121981624816,0.08632841747694484,5,0.8535,0.19193767072788093,5
zero_day,LSTM,0.5203357407407407,0.15075273152127933,5,0.7796217703745996,0.07553989699464343,5,0.6922907402941021,0.08937211744443346,5,0.9036666666666667,0.07118442401412138,5
zero_day,LogisticRegression,0.5156465277777779,0.08605964242125788,5,0.7819532115579568,0.07311621807278837,5,0.7716220787525856,0.07018839145346484,5,0.9435,0.044579049638441885,5
zero_day,OneClassSVM,0.45,0.06924192692613665,5,0.735115052474679,0.04953371552995967,5,0.35623045134105824,0.07990169329276804,5,0.9199999999999999,0.10954451150103317,5
zero_day,Q-TRACE,0.6688300462962963,0.05093655240388459,5,0.8619090709070883,0.03038957125837884,5,0.10491851491377586,0.06094359101787104,5,0.8880000000000001,0.05702277809982799,5
zero_day,QuantumKernel,0.4275244755244755,0.07745329449844715,5,0.7481173557083436,0.05325222672084839,5,0.87069315882003,0.004471585881982639,5,0.9454545454545455,0.028747978728803428,5
